序号,当前微博作者,微博内容,VIP,发布时间,当前微博转发数,当前微博评论数,被转发微博作者,被转微博内容,被转作者是否VIP,被转微博转发数,被转微博评论数,被转微博发布时间
257,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
270,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
283,天安门前的拖拉机手,卡扎菲已经被杀,FALSE,2011/8/22 15:07,0,0,fm954汽车广播,8月21日，上万利比亚人在港口城市班加西庆祝利比亚反对派武装控制的黎波里。,FALSE,1,1,2011/8/22 15:01
388,大庄剧场,看他，多像卡扎菲[嘻嘻],FALSE,2011/8/22 15:08,0,0,黑马哥-股市与股票,【微博什么也不是！】北京日报社 社长梅宁华说：“微博只是一个个小粉丝圈，只要传统媒体不放大微博的影响力，微博什么也不是。你微博上爱说什么说什么，我从来都不看”。 你听了他的话，你有什么感悟吗？？？,FALSE,17,11,2011/8/22 14:59
405,大庄剧场,看他，多像卡扎菲[嘻嘻],FALSE,2011/8/22 15:08,0,0,黑马哥-股市与股票,【微博什么也不是！】北京日报社 社长梅宁华说：“微博只是一个个小粉丝圈，只要传统媒体不放大微博的影响力，微博什么也不是。你微博上爱说什么说什么，我从来都不看”。 你听了他的话，你有什么感悟吗？？？,FALSE,17,11,2011/8/22 14:59
422,大庄剧场,看他，多像卡扎菲[嘻嘻],FALSE,2011/8/22 15:08,0,0,黑马哥-股市与股票,【微博什么也不是！】北京日报社 社长梅宁华说：“微博只是一个个小粉丝圈，只要传统媒体不放大微博的影响力，微博什么也不是。你微博上爱说什么说什么，我从来都不看”。 你听了他的话，你有什么感悟吗？？？,FALSE,17,11,2011/8/22 14:59
439,大庄剧场,看他，多像卡扎菲[嘻嘻],FALSE,2011/8/22 15:08,0,0,黑马哥-股市与股票,【微博什么也不是！】北京日报社 社长梅宁华说：“微博只是一个个小粉丝圈，只要传统媒体不放大微博的影响力，微博什么也不是。你微博上爱说什么说什么，我从来都不看”。 你听了他的话，你有什么感悟吗？？？,FALSE,17,11,2011/8/22 14:59
460,林梦洋,今儿什么日子，卡扎菲挂了，锋芝离了，离今天过去还有9小时，拭目以待//@李鑫此昵称大受欢迎：结束了！ //@张晗:终于还是离了～,TRUE,2011/8/22 15:08,0,0,八掌柜,离婚声明,TRUE,715,226,2011/8/22 14:59
476,林梦洋,今儿什么日子，卡扎菲挂了，锋芝离了，离今天过去还有9小时，拭目以待//@李鑫此昵称大受欢迎：结束了！ //@张晗:终于还是离了～,TRUE,2011/8/22 15:08,0,0,八掌柜,离婚声明,TRUE,719,227,2011/8/22 14:59
492,林梦洋,今儿什么日子，卡扎菲挂了，锋芝离了，离今天过去还有9小时，拭目以待//@李鑫此昵称大受欢迎：结束了！ //@张晗:终于还是离了～,TRUE,2011/8/22 15:08,0,0,八掌柜,离婚声明,TRUE,734,231,2011/8/22 14:59
606,HUME66,真搞笑！[酷] //@符虚:相信利比亚的人民也会怀念过去的，会沉痛地怀念卡扎菲的，虽然他们现在在狂欢，在庆祝。至于你信不信，反正我信了，因为这是生命的奇迹。,FALSE,2011/8/22 15:09,0,0,人大张鸣,苏东剧变之后，我们的媒体开始一直说那里的人民很后悔，怀念过去。再后来，就没了动静。我还想问问我们的媒体，那里的人民还在怀念过去吗？,FALSE,111,92,2011/8/22 14:58
623,HUME66,真搞笑！[酷] //@符虚:相信利比亚的人民也会怀念过去的，会沉痛地怀念卡扎菲的，虽然他们现在在狂欢，在庆祝。至于你信不信，反正我信了，因为这是生命的奇迹。,FALSE,2011/8/22 15:09,0,0,人大张鸣,苏东剧变之后，我们的媒体开始一直说那里的人民很后悔，怀念过去。再后来，就没了动静。我还想问问我们的媒体，那里的人民还在怀念过去吗？,FALSE,112,92,2011/8/22 14:58
640,HUME66,真搞笑！[酷] //@符虚:相信利比亚的人民也会怀念过去的，会沉痛地怀念卡扎菲的，虽然他们现在在狂欢，在庆祝。至于你信不信，反正我信了，因为这是生命的奇迹。,FALSE,2011/8/22 15:09,0,0,人大张鸣,苏东剧变之后，我们的媒体开始一直说那里的人民很后悔，怀念过去。再后来，就没了动静。我还想问问我们的媒体，那里的人民还在怀念过去吗？,FALSE,115,92,2011/8/22 14:58
669,HUME66,真搞笑！[酷] //@符虚:相信利比亚的人民也会怀念过去的，会沉痛地怀念卡扎菲的，虽然他们现在在狂欢，在庆祝。至于你信不信，反正我信了，因为这是生命的奇迹。,FALSE,2011/8/22 15:09,0,0,人大张鸣,苏东剧变之后，我们的媒体开始一直说那里的人民很后悔，怀念过去。再后来，就没了动静。我还想问问我们的媒体，那里的人民还在怀念过去吗？,FALSE,117,92,2011/8/22 14:58
688,HUME66,真搞笑！[酷] //@符虚:相信利比亚的人民也会怀念过去的，会沉痛地怀念卡扎菲的，虽然他们现在在狂欢，在庆祝。至于你信不信，反正我信了，因为这是生命的奇迹。,FALSE,2011/8/22 15:09,0,0,人大张鸣,苏东剧变之后，我们的媒体开始一直说那里的人民很后悔，怀念过去。再后来，就没了动静。我还想问问我们的媒体，那里的人民还在怀念过去吗？,FALSE,117,93,2011/8/22 14:58
707,HUME66,真搞笑！[酷] //@符虚:相信利比亚的人民也会怀念过去的，会沉痛地怀念卡扎菲的，虽然他们现在在狂欢，在庆祝。至于你信不信，反正我信了，因为这是生命的奇迹。,FALSE,2011/8/22 15:09,0,0,人大张鸣,苏东剧变之后，我们的媒体开始一直说那里的人民很后悔，怀念过去。再后来，就没了动静。我还想问问我们的媒体，那里的人民还在怀念过去吗？,FALSE,119,94,2011/8/22 14:58
46,媚鸦王,利比亚演义·倒数第？回: 卡扎菲美颜排毒，反对派白衣渡江~,FALSE,2011/8/22 15:06,0,0,头条新闻,【利比亚首都反卡扎菲人士助反对派迅速控制首都】利比亚反对派士兵何以如此神速攻入首都？潜伏在首都的反对派人士整个夏天都在策划，将武器通过水路运到首都，训练并招聘武装分子。20日晚上的黎波里城内已经完全陷入骚乱。当地居民武装起来，占领所在的社区，和卡扎菲支持者巷战。http://t.cn/amhiy9,FALSE,47,23,2011/8/22 14:57
61,媚鸦王,利比亚演义·倒数第？回: 卡扎菲美颜排毒，反对派白衣渡江~,FALSE,2011/8/22 15:06,0,0,头条新闻,【利比亚首都反卡扎菲人士助反对派迅速控制首都】利比亚反对派士兵何以如此神速攻入首都？潜伏在首都的反对派人士整个夏天都在策划，将武器通过水路运到首都，训练并招聘武装分子。20日晚上的黎波里城内已经完全陷入骚乱。当地居民武装起来，占领所在的社区，和卡扎菲支持者巷战。http://t.cn/amhiy9,FALSE,47,23,2011/8/22 14:57
76,媚鸦王,利比亚演义·倒数第？回: 卡扎菲美颜排毒，反对派白衣渡江~,FALSE,2011/8/22 15:06,0,0,头条新闻,【利比亚首都反卡扎菲人士助反对派迅速控制首都】利比亚反对派士兵何以如此神速攻入首都？潜伏在首都的反对派人士整个夏天都在策划，将武器通过水路运到首都，训练并招聘武装分子。20日晚上的黎波里城内已经完全陷入骚乱。当地居民武装起来，占领所在的社区，和卡扎菲支持者巷战。http://t.cn/amhiy9,FALSE,47,23,2011/8/22 14:57
91,媚鸦王,利比亚演义·倒数第？回: 卡扎菲美颜排毒，反对派白衣渡江~,FALSE,2011/8/22 15:06,0,0,头条新闻,【利比亚首都反卡扎菲人士助反对派迅速控制首都】利比亚反对派士兵何以如此神速攻入首都？潜伏在首都的反对派人士整个夏天都在策划，将武器通过水路运到首都，训练并招聘武装分子。20日晚上的黎波里城内已经完全陷入骚乱。当地居民武装起来，占领所在的社区，和卡扎菲支持者巷战。http://t.cn/amhiy9,FALSE,47,23,2011/8/22 14:57
386,戴启超C,卡扎菲被抓后，受中东局势缓解因素影响，布油较美原油升水有缩小倾向,FALSE,2011/8/22 15:08,0,0,陈_威廉_狗剩,卡扎菲死后，油价跌，股市涨。,FALSE,1,1,2011/8/22 14:57
403,戴启超C,卡扎菲被抓后，受中东局势缓解因素影响，布油较美原油升水有缩小倾向,FALSE,2011/8/22 15:08,0,0,陈_威廉_狗剩,卡扎菲死后，油价跌，股市涨。,FALSE,1,1,2011/8/22 14:57
420,戴启超C,卡扎菲被抓后，受中东局势缓解因素影响，布油较美原油升水有缩小倾向,FALSE,2011/8/22 15:08,0,0,陈_威廉_狗剩,卡扎菲死后，油价跌，股市涨。,FALSE,1,1,2011/8/22 14:57
437,戴启超C,卡扎菲被抓后，受中东局势缓解因素影响，布油较美原油升水有缩小倾向,FALSE,2011/8/22 15:08,0,0,陈_威廉_狗剩,卡扎菲死后，油价跌，股市涨。,FALSE,1,1,2011/8/22 14:57
610,新乡微播报,利比亚首都反卡扎菲人士助反对派迅速控制首都,FALSE,2011/8/22 15:09,0,0,头条新闻,【利比亚首都反卡扎菲人士助反对派迅速控制首都】利比亚反对派士兵何以如此神速攻入首都？潜伏在首都的反对派人士整个夏天都在策划，将武器通过水路运到首都，训练并招聘武装分子。20日晚上的黎波里城内已经完全陷入骚乱。当地居民武装起来，占领所在的社区，和卡扎菲支持者巷战。http://t.cn/amhiy9,FALSE,50,26,2011/8/22 14:57
627,新乡微播报,利比亚首都反卡扎菲人士助反对派迅速控制首都,FALSE,2011/8/22 15:09,0,0,头条新闻,【利比亚首都反卡扎菲人士助反对派迅速控制首都】利比亚反对派士兵何以如此神速攻入首都？潜伏在首都的反对派人士整个夏天都在策划，将武器通过水路运到首都，训练并招聘武装分子。20日晚上的黎波里城内已经完全陷入骚乱。当地居民武装起来，占领所在的社区，和卡扎菲支持者巷战。http://t.cn/amhiy9,FALSE,50,26,2011/8/22 14:57
644,新乡微播报,利比亚首都反卡扎菲人士助反对派迅速控制首都,FALSE,2011/8/22 15:09,0,0,头条新闻,【利比亚首都反卡扎菲人士助反对派迅速控制首都】利比亚反对派士兵何以如此神速攻入首都？潜伏在首都的反对派人士整个夏天都在策划，将武器通过水路运到首都，训练并招聘武装分子。20日晚上的黎波里城内已经完全陷入骚乱。当地居民武装起来，占领所在的社区，和卡扎菲支持者巷战。http://t.cn/amhiy9,FALSE,51,26,2011/8/22 14:57
659,sunarain_o,谣言吧？ 拉登被杀白银暴跌~ 卡扎菲被杀呢？,FALSE,2011/8/22 15:09,0,0,行情交流-Apple,最新消息：卡扎菲已被其卫队枪毙。,FALSE,7,10,2011/8/22 14:50
678,sunarain_o,谣言吧？ 拉登被杀白银暴跌~ 卡扎菲被杀呢？,FALSE,2011/8/22 15:09,0,0,行情交流-Apple,最新消息：卡扎菲已被其卫队枪毙。,FALSE,7,10,2011/8/22 14:50
697,sunarain_o,谣言吧？ 拉登被杀白银暴跌~ 卡扎菲被杀呢？,FALSE,2011/8/22 15:09,0,0,行情交流-Apple,最新消息：卡扎菲已被其卫队枪毙。,FALSE,7,10,2011/8/22 14:50
15,小飞侠999666,原来卡扎菲是虚张声势,FALSE,2011/8/22 15:06,0,0,华尔街日报中文网,【更新：利比亚反对派攻入首都的黎波里】- 利比亚反对派军队周日涌入首都的黎波里，人们原本预计市内会发生一场血腥战斗，但事实却是反对派军队几乎没有遇到卡扎菲方面守军的抵抗。http://t.cn/anksKn,FALSE,68,38,2011/8/22 14:49
33,小飞侠999666,原来卡扎菲是虚张声势,FALSE,2011/8/22 15:06,0,0,华尔街日报中文网,【更新：利比亚反对派攻入首都的黎波里】- 利比亚反对派军队周日涌入首都的黎波里，人们原本预计市内会发生一场血腥战斗，但事实却是反对派军队几乎没有遇到卡扎菲方面守军的抵抗。http://t.cn/anksKn,FALSE,68,38,2011/8/22 14:49
238,吴国人约书亚,最好是第二种，最有可能是第三种 //@辽沈晚报:#关注利比亚#后卡扎菲时代的四种可能性,FALSE,2011/8/22 15:07,0,0,微天下,#利比亚局势滚动#【泰晤士报：后卡扎菲时代的四种可能性】英国《泰晤士报》表示，利比亚陷入分裂状态已经6个月有余，重新恢复秩序可能将面临很多困难，利比亚的未来走向仍然不甚明朗。以下便是该报预测利比亚在后卡扎菲时代的四种可能性。,FALSE,33,13,2011/8/22 14:42
251,吴国人约书亚,最好是第二种，最有可能是第三种 //@辽沈晚报:#关注利比亚#后卡扎菲时代的四种可能性,FALSE,2011/8/22 15:07,0,0,微天下,#利比亚局势滚动#【泰晤士报：后卡扎菲时代的四种可能性】英国《泰晤士报》表示，利比亚陷入分裂状态已经6个月有余，重新恢复秩序可能将面临很多困难，利比亚的未来走向仍然不甚明朗。以下便是该报预测利比亚在后卡扎菲时代的四种可能性。,FALSE,33,13,2011/8/22 14:42
264,吴国人约书亚,最好是第二种，最有可能是第三种 //@辽沈晚报:#关注利比亚#后卡扎菲时代的四种可能性,FALSE,2011/8/22 15:07,0,0,微天下,#利比亚局势滚动#【泰晤士报：后卡扎菲时代的四种可能性】英国《泰晤士报》表示，利比亚陷入分裂状态已经6个月有余，重新恢复秩序可能将面临很多困难，利比亚的未来走向仍然不甚明朗。以下便是该报预测利比亚在后卡扎菲时代的四种可能性。,FALSE,33,13,2011/8/22 14:42
277,吴国人约书亚,最好是第二种，最有可能是第三种 //@辽沈晚报:#关注利比亚#后卡扎菲时代的四种可能性,FALSE,2011/8/22 15:07,0,0,微天下,#利比亚局势滚动#【泰晤士报：后卡扎菲时代的四种可能性】英国《泰晤士报》表示，利比亚陷入分裂状态已经6个月有余，重新恢复秩序可能将面临很多困难，利比亚的未来走向仍然不甚明朗。以下便是该报预测利比亚在后卡扎菲时代的四种可能性。,FALSE,33,13,2011/8/22 14:42
296,吴国人约书亚,最好是第二种，最有可能是第三种 //@辽沈晚报:#关注利比亚#后卡扎菲时代的四种可能性,FALSE,2011/8/22 15:07,0,0,微天下,#利比亚局势滚动#【泰晤士报：后卡扎菲时代的四种可能性】英国《泰晤士报》表示，利比亚陷入分裂状态已经6个月有余，重新恢复秩序可能将面临很多困难，利比亚的未来走向仍然不甚明朗。以下便是该报预测利比亚在后卡扎菲时代的四种可能性。,FALSE,33,13,2011/8/22 14:42
310,吴国人约书亚,最好是第二种，最有可能是第三种 //@辽沈晚报:#关注利比亚#后卡扎菲时代的四种可能性,FALSE,2011/8/22 15:07,0,0,微天下,#利比亚局势滚动#【泰晤士报：后卡扎菲时代的四种可能性】英国《泰晤士报》表示，利比亚陷入分裂状态已经6个月有余，重新恢复秩序可能将面临很多困难，利比亚的未来走向仍然不甚明朗。以下便是该报预测利比亚在后卡扎菲时代的四种可能性。,FALSE,33,13,2011/8/22 14:42
324,吴国人约书亚,最好是第二种，最有可能是第三种 //@辽沈晚报:#关注利比亚#后卡扎菲时代的四种可能性,FALSE,2011/8/22 15:07,0,0,微天下,#利比亚局势滚动#【泰晤士报：后卡扎菲时代的四种可能性】英国《泰晤士报》表示，利比亚陷入分裂状态已经6个月有余，重新恢复秩序可能将面临很多困难，利比亚的未来走向仍然不甚明朗。以下便是该报预测利比亚在后卡扎菲时代的四种可能性。,FALSE,33,13,2011/8/22 14:42
50,V勒个V的,[哈哈] //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:06,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,80,39,2011/8/22 14:37
65,V勒个V的,[哈哈] //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:06,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,80,39,2011/8/22 14:37
80,V勒个V的,[哈哈] //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:06,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,81,39,2011/8/22 14:37
95,V勒个V的,[哈哈] //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:06,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,82,39,2011/8/22 14:37
240,V勒个V的,那新华社同行每年骗一点办公经费在那边定点旅游呢。 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:07,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,85,42,2011/8/22 14:37
253,V勒个V的,那新华社同行每年骗一点办公经费在那边定点旅游呢。 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:07,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,85,42,2011/8/22 14:37
266,V勒个V的,那新华社同行每年骗一点办公经费在那边定点旅游呢。 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:07,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,85,42,2011/8/22 14:37
279,V勒个V的,那新华社同行每年骗一点办公经费在那边定点旅游呢。 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:07,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,85,42,2011/8/22 14:37
298,V勒个V的,那新华社同行每年骗一点办公经费在那边定点旅游呢。 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:07,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,85,42,2011/8/22 14:37
312,V勒个V的,那新华社同行每年骗一点办公经费在那边定点旅游呢。 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:07,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,85,42,2011/8/22 14:37
326,V勒个V的,那新华社同行每年骗一点办公经费在那边定点旅游呢。 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:07,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,86,42,2011/8/22 14:37
662,爱上对方干活,卡扎菲这只沙漠之鹰落下一地鸡毛 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:09,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,90,44,2011/8/22 14:37
681,爱上对方干活,卡扎菲这只沙漠之鹰落下一地鸡毛 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:09,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,90,44,2011/8/22 14:37
700,爱上对方干活,卡扎菲这只沙漠之鹰落下一地鸡毛 //@CETV方静:记得几年前一位常年驻利比亚的新华社同行十分认真地告诉我：利比亚的老百姓都十分拥护卡扎菲。可这照片。。。。。。我有点儿凌乱,FALSE,2011/8/22 15:09,0,0,刘植荣,【看看新华社说的利比亚“全面骚乱”：活捉卡扎菲儿子的消息传出，全国一片沸腾，纷纷走向街头庆祝。】,FALSE,90,44,2011/8/22 14:37
287,东方乱败,卡扎菲的今天，就是你们的明天！//@心路征程two：走狗//@中国自由派5：禽兽不如。//@子实V：[围观] [话筒],FALSE,2011/8/22 15:08,0,0,子实V,分享图片【是人吗？】,FALSE,38,19,2011/8/22 14:32
301,东方乱败,卡扎菲的今天，就是你们的明天！//@心路征程two：走狗//@中国自由派5：禽兽不如。//@子实V：[围观] [话筒],FALSE,2011/8/22 15:08,0,0,子实V,分享图片【是人吗？】,FALSE,38,19,2011/8/22 14:32
315,东方乱败,卡扎菲的今天，就是你们的明天！//@心路征程two：走狗//@中国自由派5：禽兽不如。//@子实V：[围观] [话筒],FALSE,2011/8/22 15:08,0,0,子实V,分享图片【是人吗？】,FALSE,38,19,2011/8/22 14:32
332,东方乱败,卡扎菲的今天，就是你们的明天！//@心路征程two：走狗//@中国自由派5：禽兽不如。//@子实V：[围观] [话筒],FALSE,2011/8/22 15:08,0,0,子实V,分享图片【是人吗？】,FALSE,38,19,2011/8/22 14:32
345,东方乱败,卡扎菲的今天，就是你们的明天！//@心路征程two：走狗//@中国自由派5：禽兽不如。//@子实V：[围观] [话筒],FALSE,2011/8/22 15:08,0,0,子实V,分享图片【是人吗？】,FALSE,38,19,2011/8/22 14:32
358,东方乱败,卡扎菲的今天，就是你们的明天！//@心路征程two：走狗//@中国自由派5：禽兽不如。//@子实V：[围观] [话筒],FALSE,2011/8/22 15:08,0,0,子实V,分享图片【是人吗？】,FALSE,38,19,2011/8/22 14:32
371,东方乱败,卡扎菲的今天，就是你们的明天！//@心路征程two：走狗//@中国自由派5：禽兽不如。//@子实V：[围观] [话筒],FALSE,2011/8/22 15:08,0,0,子实V,分享图片【是人吗？】,FALSE,38,19,2011/8/22 14:32
45,马台石,回复@飞马云天:卡扎菲当初就不该滴软，好汉做事好汉当。他让我想起了东郭先生，还有那个可怜的农夫，杯具哦[可怜] //@飞马云天:真是不堪一击。朝鲜的统治多稳固。,FALSE,2011/8/22 15:06,0,0,马台石,#利比亚#卡扎菲的悲剧在于：一是停止了杀伤性武器的研制；二是缺少大国靠山，事实上欧美是靠不住的，现在后悔了吧？这点应向金正日学习，手中有原子弹，背靠中、俄两座大山，美国说我是无赖，我就时不时挑点事，最终还不是要上谈判桌。美国人也说卡扎菲是无赖，但这个无赖真是不堪一击。,FALSE,1,3,2011/8/22 14:29
