NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,STFIPS,COFIPS,FIPSNO,HR7983,HR8587,HR8995,HC7983,HC8587,HC8995,PO7983,PO8587,PO8995,PE77,PE82,PE87,RDAC80,RDAC85,RDAC90
Franklin                        ,Georgia                  ,13,119,13119,              13,             119,           13119,     15.596974,      12.359157,       8.306545,       12,        6,       10,    76938,    48547,   120387,     6.455469,    6.779240,     5.841824,     0.493832,     0.173629,    -0.041490
Cherokee                        ,Alabama                  ,01,019,01019,               1,              19,            1019,      8.402302,      12.279194,       7.141072,        8,        7,       10,    95212,    57007,   140035,     2.242729,    3.182700,     5.356004,     0.286548,     0.103662,    -0.002412
Hall                            ,Georgia                  ,13,139,13139,              13,             139,           13139,     11.121946,       7.291595,       9.893280,       43,       19,       70,   386623,   260574,   707551,     3.828217,    3.958338,     2.976149,    -0.169834,    -0.401685,    -0.562283
Hart                            ,Georgia                  ,13,147,13147,              13,             147,           13147,     10.736641,       1.728369,       3.555556,       10,        1,        5,    93139,    57858,   140625,     3.659685,    4.585397,     4.456594,     0.452839,     0.254194,     0.150012
Banks                           ,Georgia                  ,13,011,13011,              13,              11,           13011,      2.292579,       3.449822,       2.671012,        1,        1,        2,    43619,    28987,    74878,     1.863990,    4.229780,     4.353217,    -0.222323,    -0.352417,    -0.396127
Bartow                          ,Georgia                  ,13,015,13015,              13,              15,           13015,      9.609009,      13.782268,       5.801936,       20,       20,       24,   208138,   145114,   413655,     3.220307,    3.176138,     4.857098,    -0.244708,    -0.439502,    -0.522730
Cherokee                        ,Georgia                  ,13,057,13057,              13,              57,           13057,      7.769548,       5.547645,       2.985283,       21,       12,       21,   270286,   216308,   703451,     2.778567,    3.314448,     3.961731,    -0.884394,    -1.348245,    -1.556684
Forsyth                         ,Georgia                  ,13,117,13117,              13,             117,           13117,      4.889429,       8.324084,       6.476994,        7,        9,       23,   143166,   108120,   355103,     7.125024,    3.850152,     4.460564,    -0.600124,    -1.138518,    -1.445282
Jackson                         ,Georgia                  ,13,157,13157,              13,             157,           13157,     13.928978,       9.518144,       7.679208,       18,        8,       17,   129227,    84050,   221377,     5.422544,    4.272494,     3.367338,     0.205892,    -0.159261,    -0.382726
Elbert                          ,Georgia                  ,13,105,13105,              13,             105,           13105,     14.864994,      14.104372,      18.739787,       14,        8,       25,    94181,    56720,   133406,     6.392184,    3.930131,     4.528220,     0.639770,     0.722065,     0.760144
Madison                         ,Georgia                  ,13,195,13195,              13,             195,           13195,      7.948133,       5.151010,      11.016427,        7,        3,       17,    88071,    58241,   154315,     5.611831,    3.140689,     2.120117,    -0.057655,    -0.247883,    -0.302842
Etowah                          ,Alabama                  ,01,055,01055,               1,              55,            1055,     13.417755,      11.139323,      10.366579,       69,       34,       73,   514244,   305225,   704186,     5.283321,    6.315855,     6.954265,     0.360856,     0.262993,     0.181083
Fulton                          ,Georgia                  ,13,121,13121,              13,             121,           13121,     28.693880,      27.730722,      29.370922,      864,      533,     1382,  3011095,  1922056,  4705334,     6.439624,    5.566294,     4.197333,     2.287277,     1.964545,     1.524987
Gwinnett                        ,Georgia                  ,13,135,13135,              13,             135,           13135,      4.208353,       5.642975,       3.872291,       38,       47,      107,   902966,   832894,  2763222,     4.580761,    5.377853,     3.866283,    -1.647628,    -1.767002,    -1.799208
Barrow                          ,Georgia                  ,13,013,13013,              13,              13,           13013,     18.265674,       9.063483,      11.544473,       20,        7,       26,   109495,    77233,   225216,     6.120721,    6.488934,     5.324384,     0.129183,    -0.127135,    -0.330774
Cobb                            ,Georgia                  ,13,067,13067,              13,              67,           13067,      7.971606,       5.514976,       5.535022,      124,       65,      186,  1555521,  1178609,  3360420,     4.852866,    5.459033,     4.597056,    -1.232344,    -1.378499,    -1.444577
Polk                            ,Georgia                  ,13,233,13233,              13,             233,           13233,     12.871827,       6.951824,      11.235160,       21,        7,       27,   163147,   100693,   240317,     4.483247,    4.800711,     5.497714,     0.270717,     0.164385,     0.118102
Paulding                        ,Georgia                  ,13,223,13223,              13,             223,           13223,      8.913252,      15.045135,       5.285707,       12,       15,       18,   134631,    99700,   340541,     4.411622,    3.915859,     3.011721,    -0.581324,    -1.016047,    -1.270930
Clarke                          ,Georgia                  ,13,059,13059,              13,              59,           13059,      9.965697,       7.310892,      10.645350,       38,       18,       66,   381308,   246208,   619989,     5.043474,    5.077869,     4.955355,     0.750520,     0.945602,     0.998910
Oglethorpe                      ,Georgia                  ,13,221,13221,              13,             221,           13221,     13.270520,      14.122798,      12.608574,        6,        4,        9,    45213,    28323,    71380,     2.138643,    3.296465,     2.444571,     0.675604,     0.397621,     0.169302
Wilkes                          ,Georgia                  ,13,317,13317,              13,             317,           13317,     10.913853,       9.036417,       9.409867,        6,        3,        7,    54976,    33199,    74390,     3.419183,    3.315714,     3.538870,     1.721569,     1.717281,     1.641282
Calhoun                         ,Alabama                  ,01,015,01015,               1,              15,            1015,     11.650434,      11.280570,      13.743560,       70,       40,      111,   600836,   354592,   807651,     3.991195,    3.584222,     3.786775,     0.178587,     0.080222,     0.029961
Oconee                          ,Georgia                  ,13,219,13219,              13,             219,           13219,      7.768076,       2.210482,       5.287129,        5,        1,        7,    64366,    45239,   132397,     5.587484,    3.961184,     3.108634,    -0.545097,    -0.828758,    -1.007987
De Kalb                         ,Georgia                  ,13,089,13089,              13,              89,           13089,     11.655774,      12.144973,      15.537506,      285,      192,      613,  2445140,  1580901,  3945292,     3.296870,    4.561076,     4.572441,    -0.230428,    -0.082140,    -0.002935
Cleburne                        ,Alabama                  ,01,029,01029,               1,              29,            1029,     18.881878,      10.553811,      16.558485,       12,        4,       15,    63553,    37901,    90588,     3.041682,    3.737433,     3.466258,    -0.087286,    -0.270860,    -0.356134
Walton                          ,Georgia                  ,13,297,13297,              13,             297,           13297,     12.090129,       8.585492,       8.217715,       19,        9,       24,   157153,   104828,   292052,     4.457012,    4.385732,     4.433560,     0.281444,     0.038638,    -0.149754
Haralson                        ,Georgia                  ,13,143,13143,              13,             143,           13143,     10.641921,       8.011793,       6.360271,       10,        5,       10,    93968,    62408,   157226,     5.417985,    4.871606,     4.928766,    -0.095140,    -0.248022,    -0.361340
Carroll                         ,Georgia                  ,13,045,13045,              13,              45,           13045,     12.027491,      10.694697,       8.870924,       35,       21,       46,   291000,   196359,   518548,     3.353003,    3.432090,     2.995487,     0.118297,    -0.006623,    -0.118026
Morgan                          ,Georgia                  ,13,211,13211,              13,             211,           13211,     15.323583,      10.743735,       9.630200,        9,        4,        9,    58733,    37231,    93456,     5.098789,    5.704561,     4.274978,     1.120607,     0.799206,     0.552520
Douglas                         ,Georgia                  ,13,097,13097,              13,              97,           13097,      9.302292,       6.193037,       5.854757,       26,       12,       31,   279501,   193766,   529484,     2.941696,    5.353188,     3.021740,    -1.322913,    -1.351451,    -1.289694
Rockdale                        ,Georgia                  ,13,247,13247,              13,             247,           13247,      4.789986,       8.838802,       3.912564,        9,       12,       16,   187892,   135765,   408939,     4.765692,    4.577791,     5.000079,    -1.203501,    -1.289527,    -1.302747
Greene                          ,Georgia                  ,13,133,13133,              13,             133,           13133,     17.314218,      14.404241,      16.330911,       10,        5,       14,    57756,    34712,    85727,     4.723376,    2.632368,     3.957154,     1.771326,     1.967551,     2.059107
Newton                          ,Georgia                  ,13,217,13217,              13,             217,           13217,     13.992903,      20.508263,       9.458859,       25,       24,       30,   178662,   117026,   317163,     5.101472,    5.183675,     3.986803,     0.095236,     0.018585,     0.003761
Taliaferro                      ,Georgia                  ,13,265,13265,              13,             265,           13265,     19.349845,      16.103060,      23.228804,        2,        1,        3,    10336,     6210,    12915,     5.895954,    5.437100,     5.535586,     3.309996,     2.844978,     2.405909
Talladega                       ,Alabama                  ,01,121,01121,               1,             121,            1121,      9.945969,       9.316357,      12.955071,       37,       21,       68,   372010,   225410,   524891,     3.839917,    4.012136,     3.483949,     0.910029,     0.896945,     0.864980
Clayton                         ,Georgia                  ,13,063,13063,              13,              63,           13063,      7.822084,       9.950467,      10.144222,       60,       50,      134,   767059,   502489,  1320949,     5.283019,    5.915541,     5.316768,    -1.183199,    -0.789391,    -0.477559
Henry                           ,Georgia                  ,13,151,13151,              13,             151,           13151,     13.447729,       8.726194,       5.803169,       25,       12,       28,   185905,   137517,   482495,     5.999195,    4.540127,     3.922966,    -0.600815,    -1.138669,    -1.451125
Fayette                         ,Georgia                  ,13,113,13113,              13,             113,           13113,      5.731316,       3.494964,       3.305901,        9,        5,       16,   157032,   143063,   483983,     5.185688,    5.961913,     6.623303,    -1.697320,    -2.035866,    -2.184822
Jasper                          ,Georgia                  ,13,159,13159,              13,             159,           13159,      2.607018,      21.394035,       9.830747,        1,        5,        6,    38358,    23371,    61033,     5.260361,    5.088031,     5.023351,     1.020881,     0.945797,     0.795836
Coweta                          ,Georgia                  ,13,077,13077,              13,              77,           13077,     11.480540,      15.939834,       7.017117,       23,       22,       30,   200339,   138019,   427526,     4.398336,    4.118176,     5.308674,     0.490567,     0.069622,    -0.255120
Randolph                        ,Alabama                  ,01,111,01111,               1,             111,            1111,     19.921509,       8.468835,      14.900592,       20,        5,       21,   100394,    59040,   140934,     3.803524,    2.313536,     2.214669,     0.912920,     0.718898,     0.590663
Clay                            ,Alabama                  ,01,027,01027,               1,              27,            1027,      7.244907,       2.468039,       7.488073,        5,        1,        7,    69014,    40518,    93482,     2.447925,    2.477615,     2.437864,     0.780295,     0.534350,     0.368668
Putnam                          ,Georgia                  ,13,237,13237,              13,             237,           13237,     22.511115,       0.000000,      14.382281,       12,        0,       15,    53307,    37612,   104295,     2.990274,    8.103834,     5.562387,     0.811727,     0.823842,     0.761701
Hancock                         ,Georgia                  ,13,141,13141,              13,             141,           13141,     14.822657,      14.381764,      12.701034,        7,        4,        8,    47225,    27813,    62987,     3.676644,    4.920971,     3.549078,     3.664248,     3.402196,     3.005477
Butts                           ,Georgia                  ,13,035,13035,              13,              35,           13035,      9.974494,       6.732496,      17.363015,        7,        3,       19,    70179,    44560,   109428,     6.981204,    7.277791,     6.856777,     0.678874,     0.620432,     0.545344
Heard                           ,Georgia                  ,13,149,13149,              13,             149,           13149,     12.182865,       0.000000,       4.761073,        4,        0,        3,    32833,    22703,    63011,     4.005935,    2.802079,     4.416584,     0.168312,     0.241719,     0.256674
Spalding                        ,Georgia                  ,13,255,13255,              13,             255,           13255,     15.630077,      17.374070,      13.049018,       38,       27,       51,   243121,   155404,   390834,     5.498095,    5.405901,     6.413676,     0.712268,     0.625184,     0.527349
Meriwether                      ,Georgia                  ,13,199,13199,              13,             199,           13199,     19.774011,      12.389463,      18.911337,       21,        8,       30,   106200,    64571,   158635,     5.475315,    5.927100,     3.244501,     1.317521,     1.351740,     1.322676
Troup                           ,Georgia                  ,13,285,13285,              13,             285,           13285,     12.674221,      15.478439,      12.843889,       32,       25,       51,   252481,   161515,   397076,     6.883338,    4.560061,     3.812650,     1.086532,     0.819876,     0.573770
Lamar                           ,Georgia                  ,13,171,13171,              13,             171,           13171,      6.592392,       7.878772,       7.464119,        4,        3,        7,    60676,    38077,    93782,     4.048843,    5.690462,     5.970874,     0.516541,     0.743496,     0.860858
Monroe                          ,Georgia                  ,13,207,13207,              13,             207,           13207,      6.794955,      12.527927,       9.576404,        5,        6,       12,    73584,    47893,   125308,     4.850174,    7.660079,     5.793786,     0.892645,     0.427235,     0.109093
Pike                            ,Georgia                  ,13,231,13231,              13,             231,           13231,      4.524580,      14.125291,       6.744271,        2,        4,        5,    44203,    28318,    74137,     4.111210,    4.617444,     3.558914,    -0.227569,    -0.316149,    -0.348852
Baldwin                         ,Georgia                  ,13,009,13009,              13,               9,           13009,     14.538053,      13.815494,       7.755080,       26,       16,       22,   178841,   115812,   283685,     5.978510,    4.215206,     3.354801,     0.622059,     0.922519,     1.099701
Jones                           ,Georgia                  ,13,169,13169,              13,             169,           13169,     10.554090,       8.576476,       6.071973,        9,        5,        9,    85275,    58299,   148222,     1.800720,    3.654066,     4.596799,     0.134309,    -0.010033,    -0.106471
Chambers                        ,Alabama                  ,01,017,01017,               1,              17,            1017,     15.786606,      16.623358,      16.584451,       31,       19,       43,   196369,   114297,   259279,     4.304015,    5.173333,     6.079671,     0.823855,     0.750034,     0.698915
Tallapoosa                      ,Alabama                  ,01,123,01123,               1,             123,            1123,     14.992736,      10.354915,      16.740056,       29,       12,       46,   193427,   115887,   274790,     4.594574,    4.297338,     5.660003,     0.650857,     0.529719,     0.459803
Wilkinson                       ,Georgia                  ,13,319,13319,              13,             319,           13319,     15.408320,       9.621244,      17.912257,        8,        3,       13,    51920,    31181,    72576,     6.011333,    5.186003,     5.811701,     0.938837,     0.698702,     0.507253
Upson                           ,Georgia                  ,13,293,13293,              13,             293,           13293,      8.390414,       8.879305,       5.933438,       11,        7,       11,   131102,    78835,   185390,     4.049965,    3.309141,     2.865864,     0.726408,     0.552252,     0.407802
Bibb                            ,Georgia                  ,13,021,13021,              13,              21,           13021,     16.901795,      14.735541,      18.709826,      128,       67,      200,   757316,   454683,  1068957,     6.590556,    5.979030,     5.095766,     1.183559,     1.266168,     1.282627
Twiggs                          ,Georgia                  ,13,289,13289,              13,             289,           13289,     12.728314,       6.870019,      17.490417,        6,        2,       12,    47139,    29112,    68609,     4.716007,    3.616879,     4.064283,     0.928311,     1.276082,     1.521147
Talbot                          ,Georgia                  ,13,263,13263,              13,             263,           13263,      3.032692,       5.207520,      17.218001,        1,        1,        8,    32974,    19203,    46463,     4.935370,    2.664835,     5.102848,     1.881499,     1.994781,     2.024711
Harris                          ,Georgia                  ,13,145,13145,              13,             145,           13145,     10.414904,       9.905698,       9.933522,        8,        5,       13,    76813,    50476,   130870,     4.718853,    5.251323,     4.524469,     0.766790,     0.379812,     0.046540
Crawford                        ,Georgia                  ,13,079,13079,              13,              79,           13079,     10.698334,       4.126604,       6.076349,        4,        1,        4,    37389,    24233,    65829,     2.248677,    4.859279,     5.091650,     0.693066,     0.314314,     0.005875
Lee                             ,Alabama                  ,01,081,01081,               1,              81,            1081,      8.235303,       4.859224,       7.967442,       32,       12,       50,   388571,   246953,   627554,     4.777087,    4.976995,     3.913853,     0.562183,     0.461834,     0.358403
Taylor                          ,Georgia                  ,13,269,13269,              13,             269,           13269,     15.164152,      25.903380,      14.727269,        6,        6,        8,    39567,    23163,    54321,     4.064555,    6.054323,     5.465116,     2.439774,     2.396404,     2.206930
Peach                           ,Georgia                  ,13,225,13225,              13,             225,           13225,     15.991471,      16.916753,       9.093094,       15,       10,       14,    93800,    59113,   153963,     5.802087,    5.637201,     4.677199,     2.033021,     1.831894,     1.573463
Houston                         ,Georgia                  ,13,153,13153,              13,             153,           13153,      6.807678,       9.506758,       8.553431,       27,       24,       56,   396611,   252452,   654708,     5.238009,    5.109191,     4.700373,    -0.549791,    -0.447774,    -0.368629
Muscogee                        ,Georgia                  ,13,215,13215,              13,             215,           13215,     15.084969,      15.131221,      12.477725,      130,       81,      160,   861785,   535317,  1282285,     5.072788,    3.358564,     4.951852,     1.074347,     1.158498,     1.135739
Marion                          ,Georgia                  ,13,197,13197,              13,             197,           13197,     14.999813,       0.000000,       4.859559,        4,        0,        2,    26667,    16704,    41156,     1.915125,    2.609446,     5.247272,     2.470440,     2.394207,     2.219671
